2;CaptiveNetworkSupport-325.10.1 wispr
2;Dr.Web anti-virus License:DRWEB KEY (Support ES) LicenseState:LICENSE KEY Version: 9.01.3.7037 Device model: Ixion X250 OctaVa Firmware version: 4.4.2
2;HP Rules Engine/2.0
2;Microsoft-WNS/6.3
2;Mordo Online updater 1.0
2;Mozilla/3.0 (compatible; Adobe Synchronizer 11.0.07)
2;Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Win64; x64; Trident/7.0; .NET CLR 2.0.50727; SLCC2; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; GWX:MANAGED)
2;Mozilla/4.0 (compatible; ru-RU; Windows NT 5.01.2600) Chrome/38.0.2125.104
2;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/41.0.2228.0 Safari/537.36
2;Mozilla/5.0 (Windows NT 6.1; en-US; rv:22.0) Gecko/20130405 Firefox/22.0
2;okhttp/2.5.0
2;Opera NetInstaller/35.0.2066.68
2;samsung GT-I9190 SyncML_DM Client
2;Silverlight
2;Skype� 6.20
2;SLSSoapClient
2;toolbar
20;dianxinos-user-agent
20;Mozilla/4.0 (compatible; MSIE 8.0.6001.18702; Windows NT 5.1)
20;Shockwave Flash
206;TXUpdater v. 2.2.4.1203 / Windows 0x1DB10106
21;avast! Emergency Update Agent
21;DXCoreService
22;2gis/1.0.0.5247 (Windows 5.2 build 3790 NT Service Pack 2) 58620451-d1d0-42de-a85b-12a02a6e3539
22;Mozilla/5.0 (Windows NT 5.1; rv:38.0) Gecko/20100101 Thunderbird/38.7.2
22;SP_Connector
2295;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 YaBrowser/16.4.0.7918 Yowser/2.5 Safari/537.36
23;okhttp/2.4.0
2382;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 YaBrowser/16.3.0.7843 Yowser/2.5 Safari/537.36
239;Post_Multipart
24;uTorrent/345(109814512)(41712)
24;WinINet HttpStack/11
246;Apache-HttpClient/UNAVAILABLE (java 1.4)
24652;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36 OPR/36.0.2130.65
25;Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.9.1.5) Gecko/20091211 Sunbird/1.0b1
25762;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36 OPR/36.0.2130.65
26;WifiHotspot
2636;Mozilla/5.0 (Windows NT 5.1; rv:42.0) Gecko/20100101 Firefox/42.0
267;Mozilla/5.0
27;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/48.0.2564.116 Safari/537.36 OPR/35.0.2066.82
27;RemoteConfigFetcher
27;SDK 1.5
278;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 Safari/537.36
29;Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; WOW64; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; BRI/2; GWX:MANAGED)
3;DownloadHttp1.0.0 (1.0.0)
3;Hewlet Packard eDiags
3;Mozilla/3.0 (compatible; Acrobat 5.0; Windows)
3;Mozilla/4.0 (compatible; qip8082; Windows NT 5.1; ID:ec325620db2fa5b85d4697b1ae1a90d3)
3;Mozilla/4.0 (compatible; qip8095; Windows NT 5.1; ID:d7c6c320677939ec051042a65483112a)
3;Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.2; Trident/6.0)
3;NVIDIA GFE v18.5.1
3;PPKHandler
3;QuickTime.7.7.3 (qtver=7.7.3;os=Windows NT 5.1Service Pack 3)
3;VLC media player - version 0.9.8a Grishenko - (c) 1996-2008 the VideoLAN team
3;whitelist-client/1.0
30;Mozilla/5.0 (ABE, https://noscript.net/abe/wan)
30;SeaPort/2.0
31;Smart Panel
3121;Mozilla/5.0 (compatible; MSIE 10.0; Windows NT 6.1; WOW64; Trident/7.0)
314422;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
32;GameXPService/1.4.0 (d7ea0)
32;MPFv
32598;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.103 Safari/537.36
33;MICROSOFT_DEVICE_METADATA_RETRIEVAL_CLIENT
35;IPM
35;Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; BRI/2; GWX:MANAGED)
356;1C+Enterprise/8.3
36347;Mozilla/5.0 (Windows NT 5.1; rv:30.0) Gecko/20100101 Firefox/30.0
372;NativeHost
3855;MRAICQ 8.4 (build 7786) +79215954436 icq
393;Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; GTB7.5; MRA 8.3 (build 7317); .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; .NET4.0C; .NET4.0E)
39702;Mozilla/5.0 (Windows NT 5.1; rv:41.0) Gecko/20100101 Firefox/41.0
4;Agoo-sdk-uc-2.0
4;avast! SimpleHTTP
4;GoogleEarth
4;MD_VersionCheck
4;Mozilla/4.0 (compatible; qip8092; Windows NT 5.1; ID:49bdcf531ea8599bc532d1fed5d21de8)
4;Mozilla/4.0 (compatible; qip8095; Windows NT 5.1; ID:7d91c723f63376a4bb71e689914dfe5d)
4;Notepad++/Plugin-Manager;v1.3.5.0
4;Skype� 6.14
4;WebTroubleshootingService
403;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/34.0.1847.131 YaBrowser/14.5.1847.18825 Safari/537.36
42;2gis/1.0.0.5247 (Windows 5.1 build 2600 NT Service Pack 3) 97774056-0766-4139-ac33-fcf5bfb72dd2
4420;Mozilla/5.0 (Windows NT 5.1; rv:45.0) Gecko/20100101 Firefox/45.0
4441;Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729)
45;MEIZU
47;McHttpH
47;Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/32.0.1700.102 Safari/537.36
5;Mozilla/4.0 (CCleaner, 5.14.5493)
5;Mozilla/4.0 (compatible; qip8082; Windows NT 6.0; ID:b980dbe40744289df13f55cc4bc26e3c)
5;Mozilla/4.0 (compatible; qip8092; Windows NT 5.1; ID:89a489a69475545cf53aea7c43dbb578)
5;Mozilla/4.0 (compatible; qip8092; Windows NT 5.1; ID:97e22767e9d3be28558047445f0f6835)
5;Mozilla/4.0 (compatible; qip8092; Windows NT 5.1; ID:e14f92973aa7439472fa9095bf33a6ba)
5;Mozilla/4.0 (compatible; qip8095; Windows NT 5.1; ID:b2f1be5224c36fa8bf22fb0174fdc61a)
5;Mozilla/4.0 (compatible; qip8095; Windows NT 5.1; ID:de4da634b74f39a4580ac1937c98381d)
5;Mozilla/4.0 (compatible; qip8095; Windows NT 5.1; ID:fd88ab401d5c46bea8f90beadce3c70d)
5;Mozilla/4.0 (compatible; qip8095; Windows NT 6.0; ID:795ef57d53f9bea0c4efbf51b85dd8bc)
5;Mozilla/5.0 (X11; U; Linux x86_64; en-US; rv:1.9.2.18) Gecko/20110628 Ubuntu/10.04 (lucid) Firefox/3.6.18
5;Office Source Engine
5;QipGuard 2.7.3
5;WinHTTP/1.0
50;�������� 2.3.
50;BingBar 7.3.132.0
52;2gis/3.16.3.5247 (Windows 5.1 build 2600 NT Service Pack 3) 97774056-0766-4139-ac33-fcf5bfb72dd2
5456;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 YaBrowser/16.3.0.7146 Yowser/2.5 Safari/537.36
5592;MRAICQ 8.4 (build 7786) 699879647 icq
5741;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/47.0.2526.111 YaBrowser/16.3.0.7146 Safari/537.36
579;Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C; .NET4.0E)
59;BTWebClient/3460(42094)
59;Microsoft NCSI
5929;Mozilla/4.0
59416;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36
6;install traffic
6;kh_lt/LT6.2.1.6014
6;Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/7.0; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E; BRI/2; GWX:MANAGED; Windows-Media-Player/12.0.7601.17514)
6;MSDW
6;Opera autoupdate agent/1.1.11
61;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.110 Safari/537.36
65;HTTPS Client
65822;Mozilla/5.0 (Windows NT 6.1; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0
66;Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; InfoPath.1)
7;Microsoft Office/11.0 (Windows NT 5.1; Microsoft Excel 11.0.8202; Pro)
7;Microsoft-WebDAV-MiniRedir/5.1.2600
7;Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0; QQDownload 717; SLCC2; .NET CLR 2.0.50727; .NET CLR 3.5.30729; .NET CLR 3.0.30729; Media Center PC 6.0; .NET4.0C; .NET4.0E)
7;NVIDIA GFE v10.11.15
72;CloudSDK
74;WicaAgent
75;ut_core BenchHttp (ver:42094)
76;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/39.0.2171.95 Safari/537.36
77;Mozilla/4.08 [en] (WinNT; U ;Nav)
8;CMTalkerSDK.0.0.1
8;Microsoft Office/11.0 (Windows NT 5.1; Microsoft Office Word 11.0.8172; Pro)
8;Mozilla/5.0 (X11; Linux x86_64; rv:42.0) Gecko/20100101 Firefox/42.0
8;Wget/1.13.4 (linux-gnueabi)
80;Mozilla/4.0 (compatible; MSIE 8.0; Win32; Trident/4.0)
894;MRAICQ 8.2 (build 7046) 640530270 icq
9;Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko
9;SilentUpdate
91;WinINet HttpStack/14
92;Chrome WIN 49.0.2623.112 (4fc366553993dd1524b47a280fed49d8ec28421e-refs/branch-heads/2623@{#663}) channel(stable)
92700;GoogleEarth/6.2.1.6014(Windows;Microsoft Windows (5.1.2600.3);ru;kml:2.2;client:Free;type:default)
9591;-
961;Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; Trident/4.0; .NET CLR 1.1.4322; .NET CLR 2.0.50727; .NET CLR 3.0.4506.2152; .NET CLR 3.5.30729; InfoPath.2; .NET4.0C; .NET4.0E)
979;MRAICQ 8.3 (build 7317) +79117080867 icq
